TITLE_ID,TITLE,AUTHOR,BOOK_NO,TIMES_RENTED,ISBN,Category ,Price,Pub Year,Pages,Format
368451,Evergreen Hans Andersen Stories,Shree Book Centre  									,B0973241,2,978-9350495018,0,,,,
368446,Evergreen - Animal Tales : 20 Stories in Large Print,Shree Book Centre  									,B0973231,2,#N/A,0,,,,
385566,Word Fact Finder,Terry O Brien,B0977502,2,978-8129135360,0,,,,
332599,"Lean in: Women, Work and the will to Lead",Sheryl Sandberg,B0971509,2,978-0753541630,0,,,,
366627,Gracie Saves The Park,English,B0972986,2,978-8131019245,0,,,,
366638,Nibbles And The Carrot Thief,English,B0972968,2,#N/A,0,,,,
366629,Muffin And Tangy,English,B0972969,2,978-8131019269,0,,,,
366635,Pepper Undergoes A Change,English,B0972965,2,#N/A,0,,,,
366624,Cubby Transforms Herself,English,B0972974,2,#N/A,0,,,,
366623,Pansy And The Pot Of Honey,English,B0972978,2,978-8131019207,0,,,,
366619,Buttercup Saves Smurf,English,B0972972,2,#N/A,0,,,,
412930,STICK DOG TRIES TO TAKE THE DONUTS (INTERNATIONAL EDITION),Tim Watson,B01022353,2,#N/A,0,,,,
412928,STICK DOG DREAMS OF ICE CREAM (INTERNATIONAL EDITION),Tim Watson,B01022539,2,#N/A,0,,,,
412927,STICK DOG CHASES A PIZZA (INTERNATIONAL EDITION),Tim Watson,B01022548,2,#N/A,0,,,,
412926,STICK DOG WANTS A HOT DOG (INTERNATIONAL EDITION),Tim Watson,B01022543,2,978-0062304506,0,,,,
372589,The jungle book-level 3,Ladybird,B0972687,2,R9780723280804,0,,,,
203756,Puffin Classics : Little Women (REI),Louisa May Alcott,B0971708,2,R9780141321080,0,,,,
371395,Fun Bear Clares Pear,Gita Nath,B0973425,2,978-8131906873,0,,,,
367249,Snakehead : Alex Rider,"Horowitz  					,  					 Anthony  									",B0972601,2,978-1406360257,0,,,,
374096,Memory man,David Baaldacci,B0971630,2,R9781447213383,0,Fiction,,,
372737,HORRID HENRY CHRISTMAS PLAY EARLY READER,Simon Francesca,B0971301,2,R9781444001105,0,,,,
371448,The Accident,Sterling,B0973386,2,978-1845575892,0,,,,
368947,Peppa Pig: Shapes,Rebecca Gerlings,B0970537,2,R9780723297802,0,,,,
